"tipo_examen;pregunta;opcion_a;opcion_b;opcion_c;opcion_d;respuesta_correcta"
"Electricidad Industrial;¿Qué mide un multímetro?;Solo voltaje;Solo corriente;Varias magnitudes eléctricas;Frecuencia únicamente;C"
"Electricidad Industrial;¿Qué es una sobrecarga?;Falta de energía;Exceso de corriente;Bajo voltaje;Circuito abierto;B"
"Electricidad Industrial;¿Qué es un circuito cerrado?;No hay corriente;La corriente fluye;Circuito dañado;Sin fuente;B"
"Electricidad Industrial;¿Qué equipo protege al operador?;Motor;EPP;Tablero;Sensor;B"
"Soldadura Universal;¿Qué proceso usa electrodo revestido?;MIG;TIG;SMAW;Oxigas;C"
"Soldadura Universal;¿Qué gas se usa en soldadura MIG?;Oxígeno;Argón;Acetileno;Nitrógeno;B"
"Soldadura Universal;¿Cuál es el EPP básico del soldador?;Guantes y careta;Zapatos deportivos;Gorro;Mascarilla simple;A"
"Soldadura Universal;¿Qué tipo de corriente usa SMAW?;AC o DC;Solo AC;Solo DC;Trifásica;A"
"Soldadura Universal;¿Qué función cumple el electrodo?;Aislar;Aportar material;Enfriar;Medir corriente;B"
"Soldadura Universal;¿Qué soldadura usa gas protector y electrodo no consumible?;MIG;TIG;SMAW;Arco sumergido;B"
"Soldadura Universal;¿Qué metal es más fácil de soldar?;Aluminio;Acero al carbono;Titanio;Cobre;B"
"Soldadura Universal;¿Qué posición es plana?;1G;2G;3G;4G;A"
"Soldadura Universal;¿Qué causa porosidad en la soldadura?;Exceso de amperaje;Contaminación;Buen gas;Limpieza correcta;B"
"Soldadura Universal;¿Qué equipo regula la corriente?;Electrodo;Fuente de poder;Pinza;Careta;B"
"Soldadura Universal;¿Qué significa MIG?;Metal Inert Gas;Manual Inert Gas;Mixed Industrial Gas;Metal Industrial Ground;A"
"Soldadura Universal;¿Qué gas se usa en oxicorte?;Argón;Helio;Acetileno;CO2;C"
"Soldadura Universal;¿Qué defecto es una grieta?;Aceptable;Crítico;Estético;Normal;B"
"Soldadura Universal;¿Qué electrodo es común en acero?;E6013;E7018;E308;E309;A"
"Soldadura Universal;¿Qué significa TIG?;Tungsten Inert Gas;Thermal Inert Gas;Technical Inert Gas;Total Inert Gas;A"
"Soldadura Universal;¿Qué protege la careta?;Manos;Pies;Vista y rostro;Oídos;C"
"Soldadura Universal;¿Qué es el arco eléctrico?;Descarga eléctrica controlada;Cortocircuito;Explosión;Llama;A"
"Soldadura Universal;¿Qué metal requiere mayor limpieza?;Acero;Hierro;Aluminio;Fundición;C"
"Soldadura Universal;¿Qué soldadura es semiautomática?;SMAW;MIG;Oxigas;Forja;B"
"Soldadura Universal;¿Qué electrodo es de bajo hidrógeno?;E6011;E6013;E7018;E308;C"
"Soldadura Universal;¿Qué defecto ocurre por baja penetración?;Grieta;Falta de fusión;Porosidad;Socavado;B"
"Soldadura Universal;¿Qué controla el amperaje?;Penetración;Color;Gas;Ruido;A"
"Soldadura Universal;¿Qué se usa para limpiar escoria?;Cepillo de acero;Lija;Trapo;Martillo;A"
"Soldadura Universal;¿Qué soldadura usa CO2?;TIG;MIG;SMAW;Oxigas;B"
"Soldadura Universal;¿Qué es un cordón?;Corte;Depósito de soldadura;Grieta;Defecto;B"
"Soldadura Universal;¿Qué riesgo es común?;Descarga eléctrica;Resfriado;Dolor muscular;Ruido;A"
"Soldadura Universal;¿Qué posición es sobrecabeza?;1G;2G;3G;4G;D"
"Soldadura Universal;¿Qué elemento sujeta la pieza?;Pinza de masa;Electrodo;Careta;Guantes;A"
"Soldadura Universal;¿Qué metal se suelda con TIG?;Plástico;Aluminio;Madera;Vidrio;B"
"Mecánica de Mantenimiento;¿Qué es mantenimiento preventivo?;Reparar fallas;Evitar fallas;Cambiar equipos;Parar máquinas;B"
"Mecánica de Mantenimiento;¿Qué herramienta mide diámetros?;Regla;Calibrador Vernier;Martillo;Llave;B"
"Mecánica de Mantenimiento;¿Qué lubricante reduce fricción?;Agua;Aceite;Arena;Alcohol;B"
"Mecánica de Mantenimiento;¿Qué es un rodamiento?;Eje;Elemento de soporte y giro;Polea;Engranaje;B"
"Mecánica de Mantenimiento;¿Qué tipo de mantenimiento corrige fallas?;Preventivo;Predictivo;Correctivo;Autónomo;C"
"Mecánica de Mantenimiento;¿Qué herramienta ajusta tuercas?;Destornillador;Llave;Alicate;Martillo;B"
"Mecánica de Mantenimiento;¿Qué es alineación?;Lubricar;Ajustar ejes;Cortar;Soldar;B"
"Mecánica de Mantenimiento;¿Qué es un engranaje?;Elemento eléctrico;Transmisión mecánica;Sensor;Rodamiento;B"
"Mecánica de Mantenimiento;¿Qué mide un micrómetro?;Peso;Longitud precisa;Velocidad;Temperatura;B"
"Mecánica de Mantenimiento;¿Qué es desgaste?;Rotura;Pérdida de material;Ajuste;Lubricación;B"
"Mecánica de Mantenimiento;¿Qué sistema transmite potencia?;Eje;Correas y poleas;Tornillos;Resortes;B"
"Mecánica de Mantenimiento;¿Qué herramienta corta metal?;Martillo;Sierra;Llave;Alicate;B"
"Mecánica de Mantenimiento;¿Qué es vibración excesiva?;Normal;Falla potencial;Buena señal;Lubricación correcta;B"
"Mecánica de Mantenimiento;¿Qué es mantenimiento predictivo?;Basado en tiempo;Basado en condición;Correctivo;Manual;B"
"Mecánica de Mantenimiento;¿Qué se usa para medir temperatura?;Regla;Termómetro;Micrómetro;Calibrador;B"
"Mecánica de Mantenimiento;¿Qué es un eje?;Elemento fijo;Elemento giratorio;Sensor;Motor;B"
"Mecánica de Mantenimiento;¿Qué causa falla mecánica?;Lubricación adecuada;Desgaste;Mantenimiento;Alineación correcta;B"
"Mecánica de Mantenimiento;¿Qué herramienta golpea?;Llave;Martillo;Alicate;Sierra;B"
"Mecánica de Mantenimiento;¿Qué es una polea?;Rodamiento;Elemento de transmisión;Sensor;Motor;B"
"Mecánica de Mantenimiento;¿Qué reduce vibraciones?;Desbalance;Balanceo;Desgaste;Fricción;B"
"Mecánica de Mantenimiento;¿Qué es torque?;Velocidad;Fuerza de giro;Temperatura;Potencia eléctrica;B"
"Mecánica de Mantenimiento;¿Qué elemento fija piezas?;Lubricante;Tornillo;Aceite;Rodamiento;B"
"Mecánica de Mantenimiento;¿Qué es mantenimiento autónomo?;Solo técnicos;Operador participa;Correctivo;Externo;B"
"Mecánica de Mantenimiento;¿Qué herramienta aprieta tornillos?;Martillo;Destornillador;Sierra;Alicate;B"
"Mecánica de Mantenimiento;¿Qué es corrosión?;Lubricación;Oxidación del metal;Ajuste;Corte;B"
"Mecánica de Mantenimiento;¿Qué protege al técnico?;Herramientas;EPP;Máquina;Lubricante;B"
"Mecánica de Mantenimiento;¿Qué es una falla?;Operación normal;Pérdida de función;Mejora;Ajuste;B"
"Mecánica de Mantenimiento;¿Qué mide un tacómetro?;Voltaje;Velocidad de rotación;Temperatura;Presión;B"
"Mecánica de Mantenimiento;¿Qué reduce desgaste?;Fricción;Lubricación;Golpes;Carga;B"
"Mecánica de Mantenimiento;¿Qué es mantenimiento industrial?;Producción;Conservación de equipos;Venta;Diseño;B"
